38400000-8cf0-11bd-b23e-10b96e4ef00d,Stole my red stapler,2015-11-11,T
38400000-8cf0-11bd-b23e-10ba6e4ef00d,Forged my TPS reports,2015-11-01,T
38400000-8cf0-11bd-b23e-10b96e3ef00d,Destroyed fax machine,2015-11-10,T
38400000-8cf0-11bd-b23e-10b96e4ef00d,Hacked my email,2015-11-10,T
38400000-8cf0-11bd-b23e-10b9614ef00d,Used my parking space,2015-11-05,T
38400000-8cf0-11bd-b23e-10b96e4ea00d,Ate my piece of cake,2015-10-27,F
38400000-8cf0-11bd-b23e-10b9ae4ef00d,Stole my cubicle,2015-10-18,F
38400000-8cf0-11bd-b23e-10b96e4ef00d,Stole my TPS reports,2015-11-02,T
38400000-8cf0-11bd-b23e-1ab96e4ef00d,Stole money from accounting,2015-10-11,F
38400000-8cf0-11bd-b23e-10b9654ef00d,Blew up the building,2015-11-09,T
